transaction_id,date,merchant,amount,category,payment_method,description
T00076,2025-09-29,Supermarket Fresh,2404.26,Groceries,Card,Groceries purchase at Supermarket Fresh
T00077,2025-09-29,StarCoffee Cafe,457.91,Dining,UPI,Dining purchase at StarCoffee Cafe
T00078,2025-09-30,City Electricity Board,2811.23,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00079,2025-09-30,City Electricity Board,3936.6,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00080,2025-10-01,Amazon Prime,299.0,Subscription,AutoPay,Monthly subscription fee - Amazon Prime
T00081,2025-10-01,Supermarket Fresh,3453.72,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00082,2025-10-01,Water Works Dept,456.89,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00083,2025-10-01,Uber Rides,244.95,Transport,Card,Transport purchase at Uber Rides
T00084,2025-10-01,Supermarket Fresh,2174.42,Groceries,Card,Groceries purchase at Supermarket Fresh
T00085,2025-10-02,Supermarket Fresh,507.95,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00086,2025-10-02,Zomato Food Delivery,891.15,Dining,UPI,Dining purchase at Zomato Food Delivery
T00087,2025-10-02,Supermarket Fresh,3376.45,Groceries,Card,Groceries purchase at Supermarket Fresh
T00088,2025-10-03,Google One,149.0,Subscription,AutoPay,Monthly subscription fee - Google One
T00089,2025-10-03,StarCoffee Cafe,358.51,Dining,UPI,Dining purchase at StarCoffee Cafe
T00090,2025-10-03,City Electricity Board,1823.69,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00091,2025-10-04,Swiggy Instamart,321.01,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00092,2025-10-05,Spotify,119.0,Subscription,AutoPay,Monthly subscription fee - Spotify
T00093,2025-10-05,Shell Fuel Station,2539.45,Transport,Card,Transport purchase at Shell Fuel Station
T00094,2025-10-05,Shell Fuel Station,1731.23,Transport,Card,Transport purchase at Shell Fuel Station
T00095,2025-10-05,PharmaCare Chemist,1075.34,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00096,2025-10-06,StarCoffee Cafe,182.79,Dining,UPI,Dining purchase at StarCoffee Cafe
T00097,2025-10-06,StarCoffee Cafe,341.29,Dining,UPI,Dining purchase at StarCoffee Cafe
T00098,2025-10-06,Uber Rides,616.63,Transport,Card,Transport purchase at Uber Rides
T00099,2025-10-07,TechStore Electronics,3777.35,Shopping,NetBanking,Shopping purchase at TechStore Electronics
T00100,2025-10-07,Zomato Food Delivery,733.58,Dining,UPI,Dining purchase at Zomato Food Delivery
T00101,2025-10-08,Dropbox,800.0,Subscription,Card,Monthly subscription fee - Dropbox
T00102,2025-10-08,PharmaCare Chemist,273.31,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00103,2025-10-08,Local Diner,382.74,Dining,UPI,Dining purchase at Local Diner
T00104,2025-10-08,BookMyShow,908.55,Entertainment,UPI,Entertainment purchase at BookMyShow
T00105,2025-10-09,Swiggy Instamart,542.28,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00106,2025-10-09,Shell Fuel Station,2574.99,Transport,Card,Transport purchase at Shell Fuel Station
T00107,2025-10-09,Zomato Food Delivery,576.63,Dining,UPI,Dining purchase at Zomato Food Delivery
T00108,2025-10-10,YouTube Premium,149.0,Subscription,AutoPay,Monthly subscription fee - YouTube Premium
T00109,2025-10-10,Adobe,2672.0,Subscription,Card,Monthly subscription fee - Adobe
T00110,2025-10-10,PharmaCare Chemist,746.89,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00111,2025-10-11,Supermarket Fresh,1400.7,Groceries,Card,Groceries purchase at Supermarket Fresh
T00112,2025-10-12,Netflix,649.0,Subscription,AutoPay,Monthly subscription fee - Netflix
T00113,2025-10-12,Uber Rides,520.62,Transport,UPI,Transport purchase at Uber Rides
T00114,2025-10-12,Zomato Food Delivery,227.06,Dining,UPI,Dining purchase at Zomato Food Delivery
T00115,2025-10-12,BookMyShow,1294.32,Entertainment,UPI,Entertainment purchase at BookMyShow
T00116,2025-10-13,Swiggy Instamart,1130.34,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00117,2025-10-13,Uber Rides,170.91,Transport,UPI,Transport purchase at Uber Rides
T00118,2025-10-13,Supermarket Fresh,3181.61,Groceries,Card,Groceries purchase at Supermarket Fresh
T00119,2025-10-14,PharmaCare Chemist,272.13,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00120,2025-10-14,Swiggy Instamart,1469.1,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00121,2025-10-15,Microsoft 365,489.0,Subscription,Card,Monthly subscription fee - Microsoft 365
T00122,2025-10-15,Uber Rides,590.71,Transport,Card,Transport purchase at Uber Rides
T00123,2025-10-15,Uber Rides,518.28,Transport,UPI,Transport purchase at Uber Rides
T00124,2025-10-16,PharmaCare Chemist,1398.81,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00125,2025-10-16,Local Diner,433.08,Dining,UPI,Dining purchase at Local Diner
T00126,2025-10-16,City Electricity Board,3854.85,Utilities,UPI,Utilities purchase at City Electricity Board
T00127,2025-10-16,Shell Fuel Station,1599.15,Transport,Card,Transport purchase at Shell Fuel Station
T00128,2025-10-17,CloudBox,799.0,Subscription,AutoPay,Monthly subscription fee - CloudBox
T00129,2025-10-17,Local Diner,1193.62,Dining,UPI,Dining purchase at Local Diner
T00130,2025-10-17,Shell Fuel Station,1247.33,Transport,Card,Transport purchase at Shell Fuel Station
T00131,2025-10-17,City Electricity Board,2386.31,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00132,2025-10-18,NewsPlus,199.0,Subscription,AutoPay,Monthly subscription fee - NewsPlus
T00133,2025-10-18,TechStore Electronics,7877.04,Shopping,NetBanking,Shopping purchase at TechStore Electronics
T00134,2025-10-18,PharmaCare Chemist,1572.1,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00135,2025-10-18,Supermarket Fresh,713.33,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00136,2025-10-19,Swiggy Instamart,1835.56,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00137,2025-10-19,Supermarket Fresh,691.47,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00138,2025-10-20,FitnessPro,499.0,Subscription,AutoPay,Monthly subscription fee - FitnessPro
T00139,2025-10-20,BookMyShow,1165.07,Entertainment,UPI,Entertainment purchase at BookMyShow
T00140,2025-10-20,Swiggy Instamart,1872.89,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00141,2025-10-20,City Electricity Board,3928.66,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00142,2025-10-21,Supermarket Fresh,2582.67,Groceries,Card,Groceries purchase at Supermarket Fresh
T00143,2025-10-21,Zomato Food Delivery,895.67,Dining,UPI,Dining purchase at Zomato Food Delivery
T00144,2025-10-21,TechStore Electronics,5459.92,Shopping,NetBanking,Shopping purchase at TechStore Electronics
T00145,2025-10-22,GamingPlus,699.0,Subscription,Card,Monthly subscription fee - GamingPlus
T00146,2025-10-22,PharmaCare Chemist,1375.06,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00147,2025-10-22,Zomato Food Delivery,445.78,Dining,UPI,Dining purchase at Zomato Food Delivery
T00148,2025-10-22,TechStore Electronics,5127.6,Shopping,NetBanking,Shopping purchase at TechStore Electronics
T00149,2025-10-23,Shell Fuel Station,2040.89,Transport,Card,Transport purchase at Shell Fuel Station
T00150,2025-10-23,PharmaCare Chemist,1227.24,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00151,2025-10-24,City Electricity Board,2979.43,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00152,2025-10-24,Local Diner,579.95,Dining,UPI,Dining purchase at Local Diner
T00153,2025-10-24,Swiggy Instamart,1223.46,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00154,2025-10-25,Substack Pro,399.0,Subscription,Card,Monthly subscription fee - Substack Pro
T00155,2025-10-25,Water Works Dept,543.19,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00156,2025-10-25,Zomato Food Delivery,565.43,Dining,UPI,Dining purchase at Zomato Food Delivery
T00157,2025-10-25,PharmaCare Chemist,245.5,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00158,2025-10-25,StarCoffee Cafe,425.53,Dining,UPI,Dining purchase at StarCoffee Cafe
T00159,2025-10-26,Shell Fuel Station,2813.13,Transport,Card,Transport purchase at Shell Fuel Station
T00160,2025-10-26,Supermarket Fresh,495.57,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00161,2025-10-26,Swiggy Instamart,1641.55,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00162,2025-10-27,City Electricity Board,3892.57,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00163,2025-10-27,BookMyShow,1065.99,Entertainment,UPI,Entertainment purchase at BookMyShow
T00164,2025-10-27,City Electricity Board,2158.76,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00165,2025-10-27,StarCoffee Cafe,413.53,Dining,UPI,Dining purchase at StarCoffee Cafe
T00166,2025-10-28,VPN Shield,299.0,Subscription,Card,Monthly subscription fee - VPN Shield
T00167,2025-10-28,BookMyShow,869.75,Entertainment,UPI,Entertainment purchase at BookMyShow
T00168,2025-10-28,Zomato Food Delivery,401.91,Dining,UPI,Dining purchase at Zomato Food Delivery
T00169,2025-10-29,Uber Rides,550.71,Transport,UPI,Transport purchase at Uber Rides
T00170,2025-10-29,Water Works Dept,636.96,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00171,2025-10-29,Zomato Food Delivery,545.52,Dining,UPI,Dining purchase at Zomato Food Delivery
T00172,2025-10-29,BookMyShow,1247.64,Entertainment,UPI,Entertainment purchase at BookMyShow
T00173,2025-10-30,Shell Fuel Station,2879.73,Transport,Card,Transport purchase at Shell Fuel Station
T00174,2025-10-30,Zomato Food Delivery,573.76,Dining,UPI,Dining purchase at Zomato Food Delivery
T00175,2025-10-30,Local Diner,755.85,Dining,UPI,Dining purchase at Local Diner
T00176,2025-10-31,Local Diner,636.22,Dining,UPI,Dining purchase at Local Diner
T00177,2025-10-31,Uber Rides,225.42,Transport,UPI,Transport purchase at Uber Rides
T00178,2025-11-01,Amazon Prime,299.0,Subscription,AutoPay,Monthly subscription fee - Amazon Prime
T00179,2025-11-01,BookMyShow,535.35,Entertainment,UPI,Entertainment purchase at BookMyShow
T00180,2025-11-01,City Electricity Board,2393.38,Utilities,UPI,Utilities purchase at City Electricity Board
T00181,2025-11-02,Supermarket Fresh,1001.53,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00182,2025-11-02,City Electricity Board,3943.06,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00183,2025-11-02,Swiggy Instamart,834.26,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00184,2025-11-02,TechStore Electronics,3934.05,Shopping,NetBanking,Shopping purchase at TechStore Electronics
T00185,2025-11-03,Google One,149.0,Subscription,AutoPay,Monthly subscription fee - Google One
T00186,2025-11-03,Zomato Food Delivery,765.69,Dining,UPI,Dining purchase at Zomato Food Delivery
T00187,2025-11-03,Water Works Dept,420.68,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00188,2025-11-03,Water Works Dept,315.96,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00189,2025-11-03,PharmaCare Chemist,1125.13,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00190,2025-11-04,Water Works Dept,805.75,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00191,2025-11-04,City Electricity Board,3098.11,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00192,2025-11-05,Spotify,119.0,Subscription,AutoPay,Monthly subscription fee - Spotify
T00193,2025-11-05,PharmaCare Chemist,754.35,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00194,2025-11-06,Supermarket Fresh,1169.49,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00195,2025-11-06,Shell Fuel Station,2109.4,Transport,Card,Transport purchase at Shell Fuel Station
T00196,2025-11-07,Local Diner,1114.81,Dining,UPI,Dining purchase at Local Diner
T00197,2025-11-07,Local Diner,1210.15,Dining,UPI,Dining purchase at Local Diner
T00198,2025-11-07,Supermarket Fresh,2709.43,Groceries,Card,Groceries purchase at Supermarket Fresh
T00199,2025-11-07,TechStore Electronics,3078.55,Shopping,Card,Shopping purchase at TechStore Electronics
T00200,2025-11-08,Dropbox,800.0,Subscription,Card,Monthly subscription fee - Dropbox
T00201,2025-11-08,Supermarket Fresh,3341.28,Groceries,Card,Groceries purchase at Supermarket Fresh
T00202,2025-11-09,Swiggy Instamart,442.1,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00203,2025-11-10,YouTube Premium,149.0,Subscription,AutoPay,Monthly subscription fee - YouTube Premium
T00204,2025-11-10,Adobe,2672.0,Subscription,Card,Monthly subscription fee - Adobe
T00205,2025-11-10,PharmaCare Chemist,289.3,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00206,2025-11-10,Water Works Dept,684.71,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00207,2025-11-10,Uber Rides,452.95,Transport,Card,Transport purchase at Uber Rides
T00208,2025-11-10,Uber Rides,632.36,Transport,Card,Transport purchase at Uber Rides
T00209,2025-11-11,Local Diner,912.17,Dining,UPI,Dining purchase at Local Diner
T00210,2025-11-12,Netflix,649.0,Subscription,AutoPay,Monthly subscription fee - Netflix
T00211,2025-11-12,BookMyShow,518.16,Entertainment,UPI,Entertainment purchase at BookMyShow
T00212,2025-11-12,StarCoffee Cafe,389.16,Dining,UPI,Dining purchase at StarCoffee Cafe
T00213,2025-11-12,PharmaCare Chemist,1008.61,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00214,2025-11-12,Swiggy Instamart,1526.13,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00215,2025-11-13,PharmaCare Chemist,668.44,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00216,2025-11-13,Supermarket Fresh,3026.16,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00217,2025-11-13,StarCoffee Cafe,310.06,Dining,UPI,Dining purchase at StarCoffee Cafe
T00218,2025-11-13,PharmaCare Chemist,1439.53,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00219,2025-11-14,City Electricity Board,1975.57,Utilities,UPI,Utilities purchase at City Electricity Board
T00220,2025-11-14,Swiggy Instamart,1570.1,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00221,2025-11-15,Microsoft 365,489.0,Subscription,Card,Monthly subscription fee - Microsoft 365
T00222,2025-11-15,City Electricity Board,3729.48,Utilities,UPI,Utilities purchase at City Electricity Board
T00223,2025-11-15,TechStore Electronics,10294.7,Shopping,Card,Shopping purchase at TechStore Electronics
T00224,2025-11-15,Local Diner,1263.88,Dining,UPI,Dining purchase at Local Diner
T00225,2025-11-15,Water Works Dept,613.42,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00226,2025-11-16,Supermarket Fresh,1907.07,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00227,2025-11-16,Uber Rides,393.77,Transport,UPI,Transport purchase at Uber Rides
T00228,2025-11-16,Local Diner,641.39,Dining,UPI,Dining purchase at Local Diner
T00229,2025-11-17,CloudBox,799.0,Subscription,AutoPay,Monthly subscription fee - CloudBox
T00230,2025-11-17,Zomato Food Delivery,912.09,Dining,UPI,Dining purchase at Zomato Food Delivery
T00231,2025-11-18,NewsPlus,199.0,Subscription,AutoPay,Monthly subscription fee - NewsPlus
T00232,2025-11-18,BookMyShow,747.07,Entertainment,UPI,Entertainment purchase at BookMyShow
T00233,2025-11-18,BookMyShow,823.7,Entertainment,UPI,Entertainment purchase at BookMyShow
T00234,2025-11-19,Supermarket Fresh,643.12,Groceries,Card,Groceries purchase at Supermarket Fresh
T00235,2025-11-19,City Electricity Board,3367.83,Utilities,UPI,Utilities purchase at City Electricity Board
T00236,2025-11-19,PharmaCare Chemist,980.7,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00237,2025-11-19,Zomato Food Delivery,607.57,Dining,UPI,Dining purchase at Zomato Food Delivery
T00238,2025-11-20,FitnessPro,499.0,Subscription,AutoPay,Monthly subscription fee - FitnessPro
T00239,2025-11-20,TechStore Electronics,8582.83,Shopping,NetBanking,Shopping purchase at TechStore Electronics
T00240,2025-11-20,Local Diner,539.11,Dining,UPI,Dining purchase at Local Diner
T00241,2025-11-20,BookMyShow,511.84,Entertainment,UPI,Entertainment purchase at BookMyShow
T00242,2025-11-21,Shell Fuel Station,1632.77,Transport,Card,Transport purchase at Shell Fuel Station
T00243,2025-11-21,Local Diner,1083.27,Dining,UPI,Dining purchase at Local Diner
T00244,2025-11-22,GamingPlus,699.0,Subscription,Card,Monthly subscription fee - GamingPlus
T00245,2025-11-22,Shell Fuel Station,1792.49,Transport,Card,Transport purchase at Shell Fuel Station
T00246,2025-11-23,Local Diner,266.27,Dining,UPI,Dining purchase at Local Diner
T00247,2025-11-23,Local Diner,302.34,Dining,UPI,Dining purchase at Local Diner
T00248,2025-11-24,BookMyShow,1338.5,Entertainment,UPI,Entertainment purchase at BookMyShow
T00249,2025-11-24,StarCoffee Cafe,441.82,Dining,UPI,Dining purchase at StarCoffee Cafe
T00250,2025-11-24,Water Works Dept,563.29,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00251,2025-11-25,Substack Pro,399.0,Subscription,Card,Monthly subscription fee - Substack Pro
T00252,2025-11-25,Supermarket Fresh,1145.31,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00253,2025-11-25,StarCoffee Cafe,426.63,Dining,UPI,Dining purchase at StarCoffee Cafe
T00254,2025-11-26,StarCoffee Cafe,353.11,Dining,UPI,Dining purchase at StarCoffee Cafe
T00255,2025-11-26,Uber Rides,224.6,Transport,UPI,Transport purchase at Uber Rides
T00256,2025-11-26,StarCoffee Cafe,478.18,Dining,UPI,Dining purchase at StarCoffee Cafe
T00257,2025-11-26,Zomato Food Delivery,778.04,Dining,UPI,Dining purchase at Zomato Food Delivery
T00258,2025-11-27,Water Works Dept,799.68,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00259,2025-11-27,Swiggy Instamart,1882.85,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00260,2025-11-27,Swiggy Instamart,1248.17,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00261,2025-11-27,Shell Fuel Station,2451.03,Transport,Card,Transport purchase at Shell Fuel Station
T00262,2025-11-28,VPN Shield,299.0,Subscription,Card,Monthly subscription fee - VPN Shield
T00263,2025-11-28,Uber Rides,269.93,Transport,Card,Transport purchase at Uber Rides
T00264,2025-11-29,Supermarket Fresh,1636.83,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00265,2025-11-29,Local Diner,287.54,Dining,UPI,Dining purchase at Local Diner
T00266,2025-11-30,BookMyShow,1245.57,Entertainment,UPI,Entertainment purchase at BookMyShow
T00267,2025-11-30,PharmaCare Chemist,465.47,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00268,2025-11-30,PharmaCare Chemist,992.89,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00269,2025-12-01,Amazon Prime,299.0,Subscription,AutoPay,Monthly subscription fee - Amazon Prime
T00270,2025-12-01,StarCoffee Cafe,343.37,Dining,UPI,Dining purchase at StarCoffee Cafe
T00271,2025-12-01,Local Diner,1200.63,Dining,UPI,Dining purchase at Local Diner
T00272,2025-12-01,Supermarket Fresh,872.66,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00273,2025-12-01,Swiggy Instamart,1468.21,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00274,2025-12-02,StarCoffee Cafe,320.61,Dining,UPI,Dining purchase at StarCoffee Cafe
T00275,2025-12-02,BookMyShow,742.76,Entertainment,UPI,Entertainment purchase at BookMyShow
T00276,2025-12-02,Zomato Food Delivery,614.19,Dining,UPI,Dining purchase at Zomato Food Delivery
T00277,2025-12-02,StarCoffee Cafe,359.41,Dining,UPI,Dining purchase at StarCoffee Cafe
T00278,2025-12-03,Google One,149.0,Subscription,AutoPay,Monthly subscription fee - Google One
T00279,2025-12-03,Swiggy Instamart,610.63,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00280,2025-12-03,Shell Fuel Station,3123.82,Transport,Card,Transport purchase at Shell Fuel Station
T00281,2025-12-03,PharmaCare Chemist,1335.7,Shopping,Card,Shopping purchase at PharmaCare Chemist
